[1] "d.pm.mic" "HM1F"    
Inference for Bugs model at "hyena.model1f.txt", fit using WinBUGS,
 2 chains, each with 10 iterations (first 5 discarded)
 n.sims = 10 iterations saved
                       mean   sd    2.5%     25%     50%     75%   97.5% Rhat n.eff
alpha0                -0.51 0.22   -0.85   -0.64   -0.46   -0.36   -0.24 1.34     6
alpha.type[2]         -0.26 0.48   -0.81   -0.55   -0.41   -0.15    0.68 0.99    10
alpha.visit[1]         0.21 0.31   -0.34    0.04    0.25    0.41    0.60 1.90     4
alpha.visit[2]         0.71 0.36    0.24    0.46    0.65    0.99    1.25 1.45     5
alpha.visit[3]         0.63 0.35    0.10    0.44    0.65    0.86    1.14 0.95    10
alpha.visit[4]         0.16 0.32   -0.29   -0.05    0.17    0.37    0.66 2.02     3
alpha.type.visit[6]   -0.81 0.55   -1.63   -1.02   -0.84   -0.73    0.15 1.87     4
alpha.type.visit[7]    0.40 0.67   -0.74   -0.03    0.47    0.93    1.21 1.04    10
alpha.type.visit[8]   -2.76 0.72   -4.11   -3.06   -2.67   -2.17   -2.03 1.61     5
alpha.type.visit[9]    0.02 0.65   -0.93   -0.45    0.03    0.43    1.02 1.40     6
resid[1]              -0.96 0.34   -1.33   -1.23   -1.05   -0.65   -0.50 0.99    10
resid[2]              -0.82 0.36   -1.26   -1.04   -0.89   -0.64   -0.16 1.00    10
resid[3]              -0.90 0.36   -1.34   -1.20   -0.92   -0.65   -0.37 1.30     7
resid[4]              -0.87 0.33   -1.37   -1.08   -0.88   -0.58   -0.45 0.94    10
resid[5]               3.30 1.03    1.87    2.60    3.24    3.92    4.89 0.92    10
resid[6]              -0.83 0.32   -1.14   -1.08   -0.95   -0.69   -0.30 1.34     7
resid[7]              -2.34 1.04   -3.85   -3.24   -2.12   -1.63   -0.94 1.18    10
resid[8]               3.02 0.96    1.63    2.23    3.16    3.61    4.39 1.15    10
resid[9]               2.72 0.99    1.56    1.90    2.70    3.13    4.26 0.90    10
resid[10]             -2.01 1.22   -4.57   -2.09   -1.66   -1.41   -0.89 1.15    10
resid[11]             -0.58 0.25   -1.04   -0.65   -0.53   -0.47   -0.22 1.19     8
resid[12]              2.16 0.80    1.27    1.67    1.85    2.65    3.58 0.99    10
resid[13]              2.96 2.02    0.66    1.28    2.44    4.03    6.27 0.91    10
resid[14]             -0.48 0.35   -1.11   -0.73   -0.32   -0.26   -0.08 0.93    10
resid[15]              0.73 0.36    0.10    0.52    0.74    1.01    1.17 1.20     8
resid[16]             -0.72 0.24   -1.17   -0.76   -0.69   -0.64   -0.41 1.48     5
resid[17]             -1.26 0.29   -1.81   -1.38   -1.16   -1.08   -0.99 1.12    10
resid[18]             -0.62 0.28   -1.13   -0.64   -0.61   -0.55   -0.23 1.17    10
resid[19]             -0.54 0.34   -0.95   -0.91   -0.44   -0.27   -0.17 1.05    10
resid[20]              2.95 1.72    1.02    1.92    2.56    3.44    5.85 0.90    10
resid[21]             -1.19 0.26   -1.58   -1.33   -1.25   -1.04   -0.81 1.21    10
resid[22]              2.40 0.81    1.38    1.80    2.18    3.04    3.60 0.90    10
resid[23]             -1.21 0.39   -1.82   -1.43   -1.27   -0.94   -0.60 1.53     5
resid[24]             -0.63 0.34   -1.28   -0.79   -0.53   -0.46   -0.26 1.09    10
resid[25]             -2.92 1.27   -4.90   -3.98   -2.61   -2.00   -1.44 2.62     3
resid[26]             -0.58 0.36   -0.95   -0.87   -0.70   -0.37    0.07 1.23     8
resid[27]             -0.53 0.37   -1.27   -0.59   -0.45   -0.39   -0.09 1.02    10
resid[28]             -0.58 0.37   -1.20   -0.72   -0.65   -0.37   -0.06 0.99    10
resid[29]             -0.47 0.38   -1.07   -0.66   -0.49   -0.23    0.12 1.18     8
resid[30]             -0.58 0.37   -1.19   -0.71   -0.62   -0.39    0.01 1.45     5
resid[31]              2.99 0.98    1.75    2.57    2.81    3.49    4.70 0.91    10
resid[32]              2.42 0.74    1.72    1.97    2.08    2.65    3.74 0.90    10
resid[33]              1.29 0.23    0.95    1.16    1.29    1.40    1.69 1.24     7
resid[34]             -0.73 0.24   -1.05   -0.95   -0.71   -0.53   -0.43 1.82     4
resid[35]             -2.28 0.74   -3.36   -2.74   -2.38   -1.77   -1.17 1.13    10
resid[36]             -2.47 0.88   -4.08   -2.82   -2.51   -1.79   -1.40 1.02    10
resid[37]              0.00 0.34   -0.69   -0.04    0.02    0.12    0.43 1.41     6
resid[38]             -2.13 1.02   -4.18   -1.98   -1.74   -1.50   -1.39 0.95    10
resid[39]              3.14 1.41    2.04    2.22    2.60    3.26    6.01 1.23     9
resid[40]             -2.33 0.56   -3.20   -2.69   -2.23   -1.84   -1.69 0.92    10
resid[41]              2.88 1.01    1.70    2.28    2.47    3.44    4.67 0.96    10
resid[42]              0.15 0.28   -0.19   -0.08    0.12    0.37    0.58 0.96    10
resid[43]              2.70 0.63    2.22    2.33    2.41    2.73    3.93 1.66     4
resid[44]              3.36 1.10    2.33    2.52    3.06    3.82    5.32 1.37     6
resid[45]             -0.70 0.31   -1.08   -0.92   -0.75   -0.58   -0.19 1.41     6
resid[46]             -2.30 0.82   -4.04   -2.24   -2.04   -2.03   -1.46 1.08    10
resid[47]             -1.99 0.74   -3.22   -2.41   -1.69   -1.53   -1.15 0.91    10
resid[48]             -2.16 1.37   -5.13   -2.16   -1.76   -1.44   -1.17 1.29     9
resid[49]             -2.09 0.91   -3.72   -2.67   -1.80   -1.40   -1.10 1.47     5
resid[50]             -2.50 0.96   -3.99   -3.05   -2.45   -1.96   -1.10 1.24     8
resid[51]             -2.61 1.01   -4.53   -2.87   -2.46   -1.94   -1.56 0.99    10
resid[52]             -1.20 0.32   -1.72   -1.38   -1.20   -0.94   -0.84 1.00    10
resid[53]             -1.33 0.32   -1.95   -1.44   -1.29   -1.20   -0.91 1.26     8
resid[54]             -0.53 0.25   -1.02   -0.62   -0.48   -0.37   -0.22 1.00    10
resid[55]             -2.85 0.60   -3.85   -3.16   -2.84   -2.36   -2.08 1.10    10
resid[56]             -0.77 0.20   -1.15   -0.81   -0.74   -0.65   -0.53 0.94    10
resid[57]             -0.60 0.34   -1.24   -0.72   -0.55   -0.36   -0.22 1.19     9
resid[58]              2.30 0.76    1.34    1.75    2.30    2.84    3.39 1.49     5
resid[59]             -0.46 0.20   -0.82   -0.55   -0.44   -0.33   -0.21 0.96    10
resid[60]             -0.54 0.30   -1.05   -0.74   -0.50   -0.32   -0.21 1.26     7
resid[61]             -0.42 0.31   -1.01   -0.55   -0.32   -0.21   -0.12 1.09    10
resid[62]             -2.39 0.76   -3.73   -2.60   -2.10   -1.89   -1.66 0.91    10
resid[63]             -0.59 0.31   -0.99   -0.83   -0.58   -0.38   -0.14 0.92    10
resid[64]             -1.17 0.41   -1.79   -1.39   -1.18   -0.94   -0.54 1.58     5
resid[65]             -1.16 0.35   -1.76   -1.32   -1.07   -0.96   -0.70 2.41     3
resid[66]              2.41 1.26    0.76    1.60    2.26    3.01    4.65 1.06    10
resid[67]              0.13 0.35   -0.26   -0.06    0.06    0.17    0.84 1.81     4
resid[68]             -1.26 0.37   -1.96   -1.36   -1.20   -1.00   -0.84 0.97    10
resid[69]              2.75 1.04    1.61    1.75    2.59    3.61    4.30 1.41     6
resid[70]              2.50 1.31    1.20    1.47    2.26    3.15    4.90 0.90    10
resid[71]             -2.62 1.21   -4.20   -3.52   -2.68   -1.50   -1.03 0.97    10
resid[72]             -0.64 0.36   -1.38   -0.64   -0.57   -0.46   -0.27 1.82     4
resid[73]              2.85 1.04    1.66    2.14    2.54    3.64    4.49 2.14     3
resid[74]             -2.32 1.07   -4.18   -2.87   -2.29   -1.46   -1.00 1.04    10
resid[75]             -2.22 1.07   -4.05   -2.89   -2.18   -1.23   -1.16 0.94    10
resid[76]              2.68 0.73    1.71    2.01    2.70    3.39    3.51 0.92    10
resid[77]              2.83 0.76    2.08    2.22    2.50    3.28    4.09 0.90    10
resid[78]              2.65 0.81    1.72    2.02    2.39    3.42    3.81 1.58     5
resid[79]              1.27 0.35    0.78    1.06    1.22    1.58    1.75 1.09    10
resid[80]              2.50 0.61    1.67    2.09    2.49    2.78    3.45 1.40     6
resid[81]              3.06 1.32    1.85    2.11    2.49    3.70    5.48 1.19     9
resid[82]              2.74 0.66    2.04    2.22    2.39    3.46    3.59 1.32     7
resid[83]              3.00 1.32    1.63    2.08    2.30    4.18    4.92 1.28     7
resid[84]             -0.53 0.31   -1.05   -0.70   -0.44   -0.36   -0.13 1.47     6
resid[85]             -0.51 0.35   -0.94   -0.82   -0.57   -0.22   -0.02 0.92    10
resid[86]             -0.46 0.36   -0.94   -0.77   -0.38   -0.33    0.07 0.90    10
resid[87]             -0.36 0.38   -0.97   -0.55   -0.44   -0.14    0.17 1.08    10
resid[88]             -0.36 0.42   -0.90   -0.69   -0.38   -0.06    0.24 0.92    10
resid[89]             -0.46 0.48   -1.14   -0.70   -0.50   -0.16    0.24 0.90    10
resid[90]             -0.44 0.41   -1.07   -0.69   -0.36   -0.16    0.08 0.92    10
resid[91]              2.95 1.19    1.52    1.95    2.86    3.80    4.70 0.98    10
resid[92]             -0.87 0.25   -1.30   -1.05   -0.81   -0.70   -0.57 1.00    10
resid[93]             -0.36 0.32   -0.91   -0.51   -0.33   -0.13    0.03 0.97    10
resid[94]             -0.23 0.35   -0.86   -0.22   -0.15   -0.06    0.13 0.94    10
resid[95]             -0.84 0.25   -1.21   -1.03   -0.82   -0.65   -0.49 0.90    10
resid[96]             -0.92 0.32   -1.45   -1.02   -0.84   -0.76   -0.51 1.03    10
resid[97]             -0.30 0.27   -0.57   -0.49   -0.41   -0.06    0.11 1.80     4
resid[98]             -0.24 0.21   -0.53   -0.40   -0.27   -0.05    0.03 0.99    10
resid[99]             -1.08 0.32   -1.57   -1.30   -1.00   -0.89   -0.60 0.94    10
resid[100]            -0.22 0.27   -0.71   -0.32   -0.26   -0.02    0.14 1.12    10
resid[101]            -0.22 0.46   -0.97   -0.45   -0.09    0.10    0.30 1.76     4
