[1] "d.pm.mic" "HM7"     
Inference for Bugs model at "hyena.model7.txt", fit using WinBUGS,
 2 chains, each with 10 iterations (first 5 discarded)
 n.sims = 10 iterations saved
                     mean   sd    2.5%     25%     50%     75%   97.5% Rhat n.eff
alpha0               0.21 0.28   -0.20    0.01    0.25    0.34    0.63 2.74     3
alpha.visit         -0.15 0.08   -0.25   -0.20   -0.16   -0.10   -0.02 3.34     2
resid[1]            -1.09 0.26   -1.44   -1.29   -1.08   -0.85   -0.77 1.74     4
resid[2]            -1.10 0.28   -1.46   -1.28   -1.16   -0.96   -0.59 1.08    10
resid[3]            -1.04 0.36   -1.58   -1.31   -0.96   -0.75   -0.63 2.00     3
resid[4]            -1.06 0.28   -1.50   -1.30   -0.94   -0.84   -0.80 1.32     6
resid[5]             3.16 1.47    1.36    1.85    3.12    4.43    5.29 0.99    10
resid[6]            -1.09 0.32   -1.47   -1.40   -1.07   -0.89   -0.65 1.15     9
resid[7]            -3.10 1.51   -5.48   -4.50   -2.22   -1.95   -1.69 1.22     8
resid[8]             2.43 0.96    1.34    1.79    2.00    3.17    3.92 0.96    10
resid[9]             2.31 0.52    1.73    1.96    2.20    2.47    3.28 1.09    10
resid[10]           -2.78 1.14   -5.04   -3.10   -2.71   -1.97   -1.64 1.44     6
resid[11]           -0.36 0.23   -0.70   -0.51   -0.35   -0.25   -0.02 1.34     6
resid[12]            2.79 1.00    1.61    2.33    2.62    2.96    4.72 1.26     7
resid[13]            2.65 1.54    1.41    1.72    2.18    2.88    5.76 0.96    10
resid[14]           -0.34 0.18   -0.65   -0.37   -0.32   -0.22   -0.12 0.99    10
resid[15]            1.15 0.27    0.65    1.06    1.18    1.34    1.47 1.66     4
resid[16]           -0.21 0.16   -0.44   -0.28   -0.25   -0.12    0.04 1.00    10
resid[17]           -0.93 0.28   -1.25   -1.14   -1.00   -0.82   -0.46 2.66     3
resid[18]           -0.36 0.25   -0.78   -0.53   -0.29   -0.21   -0.05 1.12    10
resid[19]           -0.32 0.29   -0.67   -0.54   -0.40   -0.14    0.15 1.83     4
resid[20]            3.24 1.65    1.63    2.17    2.70    3.45    6.38 0.97    10
resid[21]           -0.74 0.15   -0.98   -0.79   -0.72   -0.66   -0.51 1.32     8
resid[22]            2.81 1.27    1.86    1.99    2.08    3.66    4.90 1.00    10
resid[23]           -0.87 0.24   -1.25   -0.97   -0.87   -0.77   -0.51 0.95    10
resid[24]           -0.12 0.25   -0.50   -0.26   -0.16    0.04    0.24 1.20     9
resid[25]           -1.92 0.63   -3.18   -2.10   -1.74   -1.64   -1.24 1.15    10
resid[26]           -0.11 0.24   -0.54   -0.27   -0.03    0.06    0.13 0.91    10
resid[27]           -0.13 0.28   -0.56   -0.27   -0.14   -0.05    0.33 1.29     9
resid[28]           -0.06 0.27   -0.49   -0.22   -0.04    0.17    0.25 1.09    10
resid[29]           -0.05 0.30   -0.52   -0.27    0.00    0.19    0.32 0.96    10
resid[30]           -0.14 0.27   -0.52   -0.29   -0.20    0.03    0.27 1.17    10
resid[31]            2.52 0.78    1.83    2.16    2.29    2.42    4.15 1.03    10
resid[32]            4.03 1.70    2.05    2.86    3.60    4.63    7.15 0.92    10
resid[33]            1.42 0.19    1.22    1.29    1.40    1.50    1.79 1.03    10
resid[34]           -0.66 0.31   -1.09   -0.91   -0.67   -0.35   -0.28 0.98    10
resid[35]           -2.23 1.13   -4.34   -2.67   -2.01   -1.43   -0.97 1.60     5
resid[36]           -2.08 1.23   -4.70   -2.29   -1.62   -1.41   -1.19 1.23    10
resid[37]           -0.06 0.19   -0.41   -0.13   -0.04    0.08    0.15 1.06    10
resid[38]           -2.17 1.26   -4.87   -2.23   -1.66   -1.60   -1.37 1.19    10
resid[39]            3.58 1.11    1.96    3.15    3.40    4.18    5.43 1.14    10
resid[40]           -3.30 1.52   -5.82   -4.24   -3.12   -2.49   -1.14 1.04    10
resid[41]            3.20 1.09    2.12    2.27    2.82    3.97    4.84 1.12    10
resid[42]            0.21 0.30   -0.25    0.06    0.24    0.45    0.59 2.16     3
resid[43]            3.41 0.67    2.50    2.94    3.36    3.88    4.46 0.90    10
resid[44]            3.37 1.54    1.93    2.20    3.04    3.67    6.33 1.00    10
resid[45]           -0.51 0.24   -0.92   -0.57   -0.49   -0.38   -0.17 1.59     5
resid[46]           -3.30 1.18   -5.44   -4.02   -3.04   -2.40   -2.06 1.52     5
resid[47]           -2.55 0.90   -4.02   -2.94   -2.70   -1.74   -1.53 0.98    10
resid[48]           -2.77 1.46   -5.10   -3.60   -2.21   -1.59   -1.27 0.95    10
resid[49]           -2.99 1.13   -4.97   -3.60   -2.93   -2.08   -1.63 1.15    10
resid[50]           -2.64 0.86   -3.98   -3.12   -2.72   -1.83   -1.59 0.94    10
resid[51]           -2.51 1.69   -6.04   -2.93   -1.92   -1.40   -1.27 1.16    10
resid[52]           -1.01 0.22   -1.39   -1.13   -0.99   -0.92   -0.68 1.85     4
resid[53]           -1.01 0.26   -1.34   -1.19   -1.05   -0.88   -0.55 0.95    10
resid[54]           -0.18 0.31   -0.58   -0.48   -0.15    0.06    0.22 2.05     3
resid[55]           -2.41 0.95   -3.88   -3.18   -2.27   -1.56   -1.37 1.09    10
resid[56]           -0.21 0.28   -0.62   -0.38   -0.18    0.00    0.13 0.95    10
resid[57]           -0.15 0.26   -0.47   -0.39   -0.17    0.03    0.22 1.23     8
resid[58]            2.81 1.21    1.79    1.96    2.42    2.83    5.19 0.92    10
resid[59]           -0.20 0.21   -0.48   -0.38   -0.21   -0.05    0.11 0.96    10
resid[60]           -0.19 0.23   -0.53   -0.39   -0.15    0.00    0.10 1.01    10
resid[61]           -0.06 0.19   -0.37   -0.12   -0.03    0.06    0.22 1.19    10
resid[62]           -2.57 1.26   -5.06   -2.66   -2.23   -1.69   -1.42 1.27     8
resid[63]           -0.10 0.31   -0.54   -0.34   -0.10    0.04    0.39 1.06    10
resid[64]           -0.83 0.32   -1.18   -1.08   -0.89   -0.73   -0.27 1.89     4
resid[65]           -0.70 0.22   -1.04   -0.89   -0.65   -0.53   -0.42 1.86     4
resid[66]            2.99 1.45    1.67    2.16    2.40    3.09    5.73 1.31     8
resid[67]            0.54 0.26    0.10    0.40    0.57    0.73    0.84 1.35     7
resid[68]           -0.82 0.14   -1.06   -0.90   -0.76   -0.72   -0.69 0.94    10
resid[69]            2.79 1.06    1.75    2.03    2.61    2.88    4.66 1.44     6
resid[70]            2.95 1.17    1.93    2.23    2.49    3.47    5.21 1.33     8
resid[71]           -2.23 0.83   -3.50   -2.77   -2.11   -1.76   -1.15 1.08    10
resid[72]           -0.85 0.22   -1.12   -1.00   -0.87   -0.71   -0.48 0.92    10
resid[73]            3.52 1.54    1.83    2.09    3.12    4.89    5.77 1.08    10
resid[74]           -2.48 1.08   -4.27   -3.15   -2.38   -1.63   -1.18 0.95    10
resid[75]           -2.24 0.78   -3.33   -2.97   -1.95   -1.72   -1.26 0.91    10
resid[76]            3.03 1.09    1.84    2.13    2.81    3.78    4.83 1.03    10
resid[77]            3.39 1.21    1.98    2.46    3.13    4.49    5.04 1.80     4
resid[78]            3.47 1.51    2.04    2.52    3.00    3.43    6.23 0.93    10
resid[79]            1.50 0.20    1.15    1.41    1.50    1.67    1.74 0.96    10
resid[80]            3.23 0.89    1.99    2.51    3.38    3.73    4.57 1.12    10
resid[81]            3.56 1.03    2.42    2.84    3.17    4.16    5.44 0.97    10
resid[82]            2.87 0.81    2.02    2.23    2.61    3.38    4.14 0.93    10
resid[83]            2.88 1.25    1.62    2.16    2.52    3.13    5.36 1.63     4
resid[84]           -0.55 0.24   -0.86   -0.72   -0.57   -0.36   -0.20 0.98    10
resid[85]           -0.46 0.30   -0.86   -0.70   -0.48   -0.18   -0.06 1.07    10
resid[86]           -1.08 0.38   -1.61   -1.35   -1.12   -0.87   -0.48 1.90     4
resid[87]           -1.06 0.41   -1.65   -1.34   -1.07   -0.72   -0.54 1.30     7
resid[88]           -1.05 0.30   -1.51   -1.17   -1.00   -0.93   -0.55 1.72     4
resid[89]           -1.10 0.26   -1.45   -1.26   -1.14   -0.95   -0.69 2.23     3
resid[90]           -1.10 0.29   -1.43   -1.35   -1.12   -0.96   -0.64 1.19     9
resid[91]            2.84 0.95    1.94    2.47    2.59    2.81    4.80 1.27     8
resid[92]           -0.89 0.20   -1.19   -0.99   -0.96   -0.73   -0.61 1.13    10
